iter	Passed	Remaining
0	17	3089
1	36	3262
2	54	3187
3	71	3164
4	88	3100
5	106	3090
6	122	3037
7	140	3012
8	154	2935
9	168	2865
10	184	2831
11	198	2779
12	216	2787
13	231	2747
14	246	2713
15	260	2674
16	276	2653
17	291	2619
18	307	2602
19	322	2579
20	338	2559
21	354	2544
22	371	2535
23	387	2516
24	402	2497
25	417	2472
26	432	2449
27	449	2439
28	465	2423
29	479	2397
30	497	2388
31	504	2334
32	519	2314
33	534	2293
34	537	2226
35	551	2206
36	567	2191
37	570	2133
38	585	2117
39	602	2107
40	617	2093
41	620	2039
42	625	1992
43	640	1980
44	656	1968
45	673	1962
46	690	1952
47	707	1945
48	710	1900
49	713	1854
50	716	1811
51	718	1769
52	733	1758
53	748	1745
54	766	1741
55	779	1726
56	795	1717
57	798	1678
58	815	1672
59	830	1661
60	839	1636
61	857	1631
62	873	1621
63	887	1608
64	891	1577
65	909	1570
66	926	1562
67	945	1556
68	959	1543
69	975	1532
70	992	1522
71	1010	1515
72	1026	1503
73	1040	1490
74	1054	1475
75	1071	1465
76	1084	1450
77	1100	1438
78	1117	1428
79	1132	1416
80	1149	1404
81	1165	1392
82	1180	1380
83	1196	1367
84	1213	1356
85	1217	1330
86	1220	1304
87	1224	1279
88	1238	1266
89	1252	1252
90	1268	1240
91	1284	1228
92	1301	1217
93	1315	1203
94	1333	1193
95	1349	1181
96	1365	1168
97	1380	1155
98	1398	1144
99	1416	1132
100	1432	1120
101	1447	1107
102	1463	1094
103	1480	1081
104	1498	1070
105	1514	1057
106	1531	1044
107	1546	1030
108	1562	1017
109	1578	1004
110	1595	991
111	1610	977
112	1627	964
113	1641	950
114	1657	936
115	1675	924
116	1693	911
117	1707	897
118	1711	877
119	1729	864
120	1745	851
121	1761	837
122	1777	823
123	1793	810
124	1808	795
125	1823	781
126	1838	767
127	1853	753
128	1869	739
129	1883	724
130	1891	707
131	1906	693
132	1924	679
133	1938	665
134	1953	651
135	1967	636
136	1981	621
137	1997	607
138	2014	594
139	2031	580
140	2047	566
141	2055	550
142	2071	536
143	2088	522
144	2102	507
145	2120	493
146	2133	479
147	2148	464
148	2164	450
149	2177	435
150	2193	421
151	2212	407
152	2227	393
153	2241	378
154	2257	364
155	2274	349
156	2291	335
157	2307	321
158	2324	306
159	2341	292
160	2349	277
161	2365	262
162	2379	248
163	2397	233
164	2411	219
165	2426	204
166	2442	190
167	2458	175
168	2473	161
169	2489	146
170	2505	131
171	2520	117
172	2535	102
173	2553	88
174	2568	73
175	2583	58
176	2600	44
177	2618	29
178	2620	14
179	2636	0
